name               ,sku         ,barcode       ,description                      ,price   ,cost    ,stock_quantity ,min_stock_level ,reorder_level ,category    ,brand    ,supplier           ,is_active ,is_public ,public_description
iPhone 15 Pro      ,IP15PRO-256 ,1234567890123 ,Latest iPhone with A17 Pro chip  , 999.99 , 750.00 ,            50 ,             10 ,            5 ,Electronics ,Apple    ,Apple Supplier     ,true      ,true      ,Experience the power of iPhone 15 Pro
Samsung Galaxy S24 ,SGS24-128   ,1234567890124 ,Flagship Android smartphone      , 899.99 , 650.00 ,            30 ,              5 ,            3 ,Electronics ,Samsung  ,Samsung Supplier   ,true      ,true      ,Next-generation Android experience
MacBook Pro 16     ,MBP16-M2    ,1234567890125 ,Professional laptop for creators ,2499.99 ,2000.00 ,            15 ,              3 ,            2 ,Computers   ,Apple    ,Apple Supplier     ,true      ,true      ,Powerful performance for professionals
Wireless Mouse     ,WM-001      ,1234567890126 ,Ergonomic wireless mouse         ,  29.99 ,  15.00 ,           100 ,             20 ,           10 ,Accessories ,Logitech ,Accessory Supplier ,true      ,true      ,Comfortable wireless mouse
USB-C Cable        ,USB-C-1M    ,1234567890127 ,1 meter USB-C charging cable     ,  12.99 ,   5.00 ,           200 ,             50 ,           25 ,Accessories ,Generic  ,Accessory Supplier ,true      ,true      ,High-quality charging cable
Wireless Keyboard  ,KB-WIRELESS ,1234567890128 ,Mechanical wireless keyboard     ,  79.99 ,  40.00 ,            40 ,             10 ,            5 ,Accessories ,Logitech ,Accessory Supplier ,true      ,true      ,Premium typing experience
Monitor Stand      ,MS-001      ,1234567890129 ,Adjustable monitor stand         ,  49.99 ,  25.00 ,            60 ,             15 ,            8 ,Accessories ,Generic  ,Accessory Supplier ,true      ,true      ,Ergonomic monitor positioning
Laptop Sleeve      ,LS-13       ,1234567890130 ,Protective laptop sleeve         ,  24.99 ,  10.00 ,            80 ,             20 ,           10 ,Accessories ,Generic  ,Accessory Supplier ,true      ,true      ,Protect your laptop
HDMI Cable         ,HDMI-2M     ,1234567890131 ,2 meter HDMI cable               ,  15.99 ,   7.00 ,           150 ,             30 ,           15 ,Accessories ,Generic  ,Accessory Supplier ,true      ,true      ,High-speed HDMI connection
Webcam HD          ,WC-1080P    ,1234567890132 ,1080p HD webcam                  ,  59.99 ,  30.00 ,            25 ,              5 ,            3 ,Accessories ,Logitech ,Accessory Supplier ,true      ,true      ,Crystal clear video calls

